0.000000000000000000e+00,4.879282379150390625e+01
1.000000000000000000e+00,3.903437042236328125e+01
2.000000000000000000e+00,5.140268707275390625e+01
3.000000000000000000e+00,4.021876525878906250e+01
4.000000000000000000e+00,4.361709976196289062e+01
5.000000000000000000e+00,4.398675918579101562e+01
6.000000000000000000e+00,4.305038070678710938e+01
7.000000000000000000e+00,4.408183288574218750e+01
8.000000000000000000e+00,3.958998489379882812e+01
9.000000000000000000e+00,4.138908386230468750e+01
1.000000000000000000e+01,3.140869903564453125e+01
1.100000000000000000e+01,3.544711685180664062e+01
1.200000000000000000e+01,4.361243820190429688e+01
1.300000000000000000e+01,4.145991516113281250e+01
1.400000000000000000e+01,4.260153961181640625e+01
1.500000000000000000e+01,3.810452270507812500e+01
1.600000000000000000e+01,4.461925888061523438e+01
1.700000000000000000e+01,3.368252563476562500e+01
1.800000000000000000e+01,3.643797302246093750e+01
1.900000000000000000e+01,3.698572158813476562e+01
2.000000000000000000e+01,3.774723815917968750e+01
2.100000000000000000e+01,4.376803588867187500e+01
2.200000000000000000e+01,2.510455894470214844e+01
2.300000000000000000e+01,2.972866249084472656e+01
2.400000000000000000e+01,4.049617004394531250e+01
2.500000000000000000e+01,4.613433837890625000e+01
2.600000000000000000e+01,4.084247589111328125e+01
2.700000000000000000e+01,4.545126342773437500e+01
2.800000000000000000e+01,4.387132263183593750e+01
2.900000000000000000e+01,4.935388183593750000e+01
3.000000000000000000e+01,3.497211074829101562e+01
3.100000000000000000e+01,4.120014953613281250e+01
3.200000000000000000e+01,2.572418403625488281e+01
3.300000000000000000e+01,3.475679016113281250e+01
3.400000000000000000e+01,4.052872467041015625e+01
3.500000000000000000e+01,3.760481262207031250e+01
3.600000000000000000e+01,2.984714126586914062e+01
3.700000000000000000e+01,2.182979202270507812e+01
3.800000000000000000e+01,3.648171997070312500e+01
3.900000000000000000e+01,4.495598602294921875e+01
4.000000000000000000e+01,3.428997802734375000e+01
4.100000000000000000e+01,4.767427444458007812e+01
4.200000000000000000e+01,3.875621795654296875e+01
4.300000000000000000e+01,4.268600082397460938e+01
4.400000000000000000e+01,4.507671737670898438e+01
4.500000000000000000e+01,4.244103240966796875e+01
4.600000000000000000e+01,3.966152954101562500e+01
4.700000000000000000e+01,4.650157928466796875e+01
4.800000000000000000e+01,4.388804626464843750e+01
4.900000000000000000e+01,3.858974838256835938e+01
5.000000000000000000e+01,4.238043212890625000e+01
5.100000000000000000e+01,3.686650085449218750e+01
5.200000000000000000e+01,2.666840362548828125e+01
5.300000000000000000e+01,4.424263000488281250e+01
5.400000000000000000e+01,3.756609344482421875e+01
