0.000000000000000000e+00,1.175237670898437500e+03
1.000000000000000000e+00,7.846293945312500000e+02
2.000000000000000000e+00,2.445891876220703125e+02
3.000000000000000000e+00,2.964835548400878906e+01
4.000000000000000000e+00,6.624889373779296875e+01
5.000000000000000000e+00,1.609431304931640625e+02
6.000000000000000000e+00,6.533325958251953125e+01
7.000000000000000000e+00,7.783334350585937500e+01
8.000000000000000000e+00,1.771445312500000000e+02
9.000000000000000000e+00,1.037433242797851562e+02
1.000000000000000000e+01,1.342954254150390625e+02
1.100000000000000000e+01,1.689344177246093750e+02
1.200000000000000000e+01,1.757490386962890625e+02
1.300000000000000000e+01,2.016606750488281250e+02
1.400000000000000000e+01,3.463544311523437500e+02
1.500000000000000000e+01,3.231427612304687500e+02
1.600000000000000000e+01,3.902687683105468750e+02
1.700000000000000000e+01,4.483640136718750000e+02
1.800000000000000000e+01,4.007187805175781250e+02
1.900000000000000000e+01,5.586913452148437500e+02
2.000000000000000000e+01,5.924753417968750000e+02
2.100000000000000000e+01,5.475872192382812500e+02
2.200000000000000000e+01,6.857855834960937500e+02
2.300000000000000000e+01,8.072575683593750000e+02
2.400000000000000000e+01,7.858280639648437500e+02
2.500000000000000000e+01,8.468161621093750000e+02
2.600000000000000000e+01,1.032247558593750000e+03
2.700000000000000000e+01,9.990043945312500000e+02
2.800000000000000000e+01,1.032989746093750000e+03
2.900000000000000000e+01,1.205582763671875000e+03
3.000000000000000000e+01,1.156418945312500000e+03
3.100000000000000000e+01,1.289924438476562500e+03
3.200000000000000000e+01,1.313886474609375000e+03
3.300000000000000000e+01,1.479047241210937500e+03
3.400000000000000000e+01,1.497199951171875000e+03
3.500000000000000000e+01,1.473358520507812500e+03
3.600000000000000000e+01,1.607856323242187500e+03
3.700000000000000000e+01,1.686370971679687500e+03
3.800000000000000000e+01,1.758621948242187500e+03
3.900000000000000000e+01,1.929958251953125000e+03
4.000000000000000000e+01,1.968415405273437500e+03
4.100000000000000000e+01,2.101740966796875000e+03
4.200000000000000000e+01,2.364831542968750000e+03
4.300000000000000000e+01,2.477559570312500000e+03
4.400000000000000000e+01,2.368849609375000000e+03
